drug_name,drug_type,dosage_form,active_ingredient,indication,description,restriction,precautions,source
Colestyramine,,oral pwdr,,,หมวดยา: Cardiovascular system | หมวดยา: Lipid-regulating drugs | ชื่อพ้อง: Cholestyramine | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fenofibrate,,"cap (เฉพาะ 100, 200 
และ 300 mg)",,,หมวดยา: Cardiovascular system | หมวดยา: Lipid-regulating drugs | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Atorvastatin,,tab (เฉพาะ 40 mg),,,หมวดยา: Cardiovascular system | หมวดยา: Lipid-regulating drugs | ED: ง,"1. ใช้กับผู้ป่วยที่ใช้ยา simvastatin ในขนาด 40 mg ติดต่อกัน 6 เดือน แล้วยังไม่สามารถควบคุมระดับ LDL-C ได้ถึงค่าเป้าหมาย (ดูเงื่อนไข simvastatin) หรือ
2. ใช้กับผู้ป่วยที่ไม่สามารถใช้ simvastatin ได้กล่าวคือมีผลข้างเคียง ได้แก่ มีค่า alanine aminotransferase (ALT) เพิ่มขึ้น 3 เท่าของค่าสูงสุดของค่าปกติ (upper limit of normal) หรือค่า Creatine phosphokinase (CPK) เพิ่มขึ้นมากกว่า 5 เท่าของค่าสูงสุดของค่าปกติ","1.  หลีกเลี่ยงการใช้ยา atorvastatin ร่วมกับ cyclosporine, HIV protease inhibitor (tipranavir + ritonavir),  
 hepatitis C protease inhibitor (telaprevir)
2.  หลีกเลี่ยงการใช้ยา atorvastatin  
2.1  ในขนาดเกินวันละ 40 mg เมื่อใช้ร่วมกับยา nelfinavir 
2.2  ในขนาดเกินวันละ 20 mg เมื่อใช้ร่วมกับยา clarithromycin, itraconazole, HIV protease inhibitor (saquinavir + ritonavir, darunavir + ritonavir, fosamprenavir, fosamprenavir + ritonavir)
3.  ระมัดระวังการใช้ยา atorvastatin ร่วมกับยา lopinavir + ritonavir โดยให้ใช้ยา atorvastatin ในขนาดต่ำสุดเท่าที่จำเป็น",สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Procaterol hydrochloride,,syr,,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Adrenoceptor agonists | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Salbutamol sulfate,,"tab, aqueous sol, DPI, MDI, sol for nebulizer",,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Adrenoceptor agonists | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Terbutaline sulfate,,"tab, syr, sterile sol",,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Adrenoceptor agonists | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Terbutaline sulfate,,sol for nebulizer,,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Adrenoceptor agonists | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Procaterol hydrochloride,,tab,,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Adrenoceptor agonists | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ipratropium bromide + Fenoterol hydrobromide,,"MDI, sol for nebulizer",,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Compound antimuscarinic bronchodilators | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aminophylline,,"tab, sterile sol",,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Theophylline | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Theophylline,,"SR cap , SR tab",,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Theophylline | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Theophylline + Glyceryl guaiacolate,,syr (50+30 mg in 5 ml),,,หมวดยา: Respiratory system | หมวดยา: Bronchodilators | หมวดยา: Theophylline | ED: ก | หมายเหตุ: จะนำออกจากบัญชี เมื่อจัดหา theophylline syr ได้ เพราะไม่มีหลักฐานชัดเจนที่สนับสนุนเหตุผลในการใช้ยาสูตรผสม,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Beclometasone dipropionate,,"DPI, MDI",,,หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Budesonide,,"DPI, MDI, susp for nebulizer",,,หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fluticasone,,susp for nebulizer,,,หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fluticasone,,MDI,,,หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ค,ใช้เป็นยาทางเลือกกรณีต้องการใช้ยาที่มี potency สูงในการรักษา,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Budesonide + Formoterol,,DPI,,,"หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ค | หมายเหตุ: 1.  ใช้สำหรับควบคุมอาการเท่านั้น
2.  การใช้ long acting beta2-agonist (LABA) เช่น formoterol และ salmeterol เป็นยาเดี่ยว เพิ่มความเสี่ยงของโรคหืดกำเริบรุนแรงและการเสียชีวิตจากโรคหืด",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fluticasone + Salmeterol,,"DPI, MDI",,,หมวดยา: Respiratory system | หมวดยา: Corticosteroids | ED: ค | หมายเหตุ: เช่นเดียวกับ Budesonide + Formoterol,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Montelukast sodium,,"chewable tab ( เฉพาะ 4 และ 5 mg ), film coated tab ( เฉพาะ 10 mg )",,,หมวดยา: Respiratory system | หมวดยา: Leukotriene receptor antagonists | ED: ค,ชนิด chewable tab 4 mg ใช้ในเด็กอายุตั้งแต่ 2-5 ขวบ,ควรติดตามอาการไม่พึงประสงค์ทาง neuropsychiatric จากการใช้ยาอย่างต่อเนื่อง,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Brompheniramine maleate,,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Chlorpheniramine maleate,,"cap, tab, syr, sterile sol",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ชื่อพ้อง: Chlorphenamine maleate | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Diphenhydramine  hydrochloride,,"cap, sterile sol",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hydroxyzine hydrochloride,,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Cetirizine hydrochloride,,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Loratadine,,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Antihistamines | รายละเอียดกลุ่ม 2: ไม่ควรใช้ antihistamines เป็นประจำ (routinely) ในโรคหวัด (common cold) เนื่องจากมีประสิทธิผลไม่แตกต่างจากยาหลอก (placebo) | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Phospholipids (ชนิด Poractant alfa หรือ Beractant),,sterile intratracheal susp,,,หมวดยา: Respiratory system | หมวดยา: Pulmonary surfactants | ED: ง,"1. ให้เลือกหนึ่งรายการที่จัดซื้อได้ถูกกว่าระหว่าง Poractant alfa กับ Beractant
2. ใช้โดยผู้เชี่ยวชาญกุมารแพทย์",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
"Dextromethorphan 
hydrobromide",,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Cough suppressants | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Opium and Glycyrrhiza Mixture Compound,,mixt (hosp),,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Cough suppressants | ชื่อพ้อง: Brown Mixture ; Mist. Tussis | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Squill and Ammonia Mixture,,mixt (hosp),,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Cough suppressants | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Codeine phosphate + Glyceryl guaiacolate,,tab/cap (เฉพาะ 10+100 mg),,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Cough suppressants | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Ammonium carbonate and senega mixture,,mixt (hosp),,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Expectorant and demulcent cough preparations | รายละเอียดกลุ่ม 3: ยาละลายเสมหะ (mucolytics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากไม่มีประสิทธิผลทางคลินิกที่ชัดเจน | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Glyceryl guaiacolate,,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Cough preparations | หมวดยา: Expectorant and demulcent cough preparations | รายละเอียดกลุ่ม 3: ยาละลายเสมหะ (mucolytics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากไม่มีประสิทธิผลทางคลินิกที่ชัดเจน | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pseudoephedrine  hydrochloride,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 2,"tab, syr",,,หมวดยา: Respiratory system | หมวดยา: Systemic nasal decongestants | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Aromatic Ammonia Spirit,,"spirit ,spirit (hosp)",,,หมวดยา: Respiratory system | หมวดยา: Other respiratory preparations | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Chloral hydrate,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,oral sol (hosp),,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Chlordiazepoxide,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,"cap,tab",,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Diazepam,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,"cap, tab, sterile sol",,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lorazepam,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,tab,,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ก",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Clonazepam,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,tab,,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ข",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Dipotassium clorazepate,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,"cap, tab",,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ข",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Hydroxyzine hydrochloride,,"tab, syr",,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ข",,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Alprazolam,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 4,tab,,,"หมวดยา: Central nervous system | หมวดยา: Hypnotics and anxiolytics | รายละเอียดกลุ่ม 2: ยานอนหลับ (hypnotics) ไม่จัดเป็นยาในบัญชียาหลักแห่งชาติ เนื่องจากควรรักษาที่ต้นเหตุของการนอนไม่หลับ
การใช้ยาเกินความจำเป็นมักนำไปสู่ปัญหาการติดยา | ED: ง",ให้ติดตามการสั่งใช้,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Chlorpromazine hydrochloride,,"tab, sterile sol",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fluphenazine,,"tab (as hydrochloride), sterile sol (as decanoate)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Haloperidol,,"tab (as base), oral sol (as base), sterile sol (as base or decanoate)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Perphenazine,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Trifluoperazine hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Clozapine,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ค,"1.ไม่ควรใช้เป็นยาตัวแรกในการรักษา
2.ควรได้รับการวินิจฉัย และการรักษาเบื้องต้นโดยแพทย์ผู้เชี่ยวชาญด้านจิตเวชศาสตร์",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Flupentixol,,"tab (as hydrochloride), sterile sol (as decanoate)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ชื่อพ้อง: Flupenthixol | ED: ค,ใช้ในกรณีใช้ยาอื่นไม่ได้ผล,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Pimozide,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ค,"1.ไม่ควรใช้เป็นยาตัวแรกในการรักษา
2.ควรได้รับการวินิจฉัย และการรักษาเบื้องต้นโดยแพทย์ผู้เชี่ยวชาญด้านจิตเวชศาสตร์",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Risperidone,,"tab (ไม่รวมชนิดละลายในปาก) , oral sol, oral sol/syr (hosp)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ค,"1. ไม่ควรใช้เป็นยาตัวแรกในการรักษา
2. ควรได้รับการวินิจฉัย และการรักษาเบื้องต้นโดยแพทย์ผู้เชี่ยวชาญด้านจิตเวชศาสตร์
3.  ชนิดน้ำใช้กับเด็กหรือผู้ที่ไม่สามารถกินยาเม็ดได้",ไม่ควรใช้ในเด็กอายุต่ำกว่า 5 ขวบ,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Thioridazine hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Zuclopenthixol,,"tab (as hydrochloride), sterile sol/sterile emulsion (as acetate or decanoate)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antipsychotic drugs | ED: ค,ใช้ในกรณีใช้ยาอื่นไม่ได้ผล,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Carbamazepine,,tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lithium carbonate,,"cap, tab",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium valproate,,"EC tab, oral sol",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Carbamazepine,,SR tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium valproate,,SR tab,,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lamotrigine,,"tab (เฉพาะ 25, 50, 100 mg)",,,หมวดยา: Central nervous system | หมวดยา: Drugs used in psychoses and related disorders | หมวดยา: Antimanic drugs | ED: ค,"1. ใช้สำหรับ rapid cycling mood disorder หรือ recurrent mood disorder ที่ไม่ตอบสนองต่อการรักษาอื่น
2. ใช้ในกรณีป้องกัน depression ใน Bipolar disorder ที่ไม่ตอบสนองต่อการรักษาอื่น",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amitriptyline hydrochloride,,film coated tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Fluoxetine hydrochloride,,"cap, tab",,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Imipramine hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Nortriptyline hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Mianserin hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Clomipramine hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sertraline,,tab(เฉพาะ 50 mg),,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ค,"1. ไม่ควรใช้เป็นยาตัวแรกในการรักษา
2. ควรได้รับการวินิจฉัยและการรักษาเบื้องต้นโดยแพทย์ผู้เชี่ยวชาญด้านจิตเวชศาสตร์",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Trazodone hydrochloride,,tab,,,หมวดยา: Central nervous system | หมวดยา: Antidepressant drugs | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Methylphenidate,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 2,tab (เฉพาะ10 mg),,,หมวดยา: Central nervous system | หมวดยา: Central nervous system stimulants | ED: ค,ใช้สำหรับ Attention-Deficit Hyperactivity Disorder (ADHD),,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
